Time (seconds),strength
0.88,990
0.98,993
1.09,1017
1.19,993
1.30,1000
1.40,995
1.51,999
1.61,994
1.71,1007
1.82,1006
1.92,1005
2.02,985
2.13,998
2.23,970
2.34,1007
2.44,1003
2.54,1000
2.65,1003
2.75,1016
2.86,998
2.96,990
3.06,1040
3.17,1011
3.27,1012
3.38,804
3.50,1032
3.60,900
3.71,1334
3.81,1205
3.92,1167
4.02,1085
4.12,485
4.23,1176
4.33,849
4.44,1082
4.54,1217
4.64,1031
4.75,988
4.85,1014
4.96,951
5.06,975
5.16,972
5.27,934
5.37,832
5.48,1022
5.58,938
5.68,1011
5.79,1017
5.89,1094
6.00,1031
6.10,1005
6.21,973
6.32,981
6.43,1046
6.53,1048
6.64,1030
6.74,1051
6.84,1032
6.95,1158
7.05,964
7.16,1014
7.26,1022
7.36,1027
7.47,1022
7.57,983
7.68,953
7.78,1035
7.88,920
7.99,1096
8.09,1021
8.20,660
8.30,1168
8.40,1084
8.51,1008
8.61,1009
8.72,1263
8.82,1020
8.92,1011
9.05,1175
9.15,972
9.26,937
9.36,1007
9.46,1001
9.57,997
9.67,1000
9.78,937
9.88,1020
9.99,946
10.09,970
10.19,929
10.30,894
10.40,1013
10.50,988
10.61,1026
10.71,1029
10.82,1000
10.92,1010
11.02,1013
11.13,991
11.23,991
11.34,1002
11.44,968
11.54,984
11.67,1013
11.77,1005
11.88,1043
11.98,999
12.08,985
12.19,1013
12.29,1026
12.40,1013
12.50,1012
12.60,1032
12.71,1062
12.81,954
12.92,826
13.02,791
13.12,831
13.23,997
13.33,938
13.44,1095
13.54,1111
13.64,1023
13.75,1040
13.85,1039
13.96,1066
14.06,1037
14.18,1051
14.29,1038
14.39,1038
14.50,1046
14.60,1054
14.70,1033
14.81,1032
14.91,1046
15.02,1013
15.12,1065
15.22,1026
15.33,1032
15.43,1037
15.54,1009
15.64,1061
15.74,1036
15.85,1027
15.95,1025
16.06,1055
16.16,999
16.26,938
16.37,1026
16.47,1034
16.58,1045
16.70,1002
16.80,995
16.91,1027
17.01,1030
17.12,1035
17.22,1027
17.32,1030
17.43,1030
17.53,1023
17.64,1030
17.74,1016
17.84,1024
